Name,Description,MSRP,Image
Dior,"Dior
Forever Glow Maximizer Longwear Liquid Highlighter",$45.00,https://media.ulta.com/i/ulta/2622873?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Diorshow Mascara",$33.00,https://media.ulta.com/i/ulta/2604300?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Diorshow Brow Styler Eyebrow Pencil",$35.00,https://media.ulta.com/i/ulta/2612221?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Diorshow Maximizer 4D Lash Primer-Serum",$33.00,https://media.ulta.com/i/ulta/2623985?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Rouge Dior Contour Lip Liner",$35.00,https://media.ulta.com/i/ulta/2618895?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Rouge Dior Forever Liquid Lipstick",$47.00,https://media.ulta.com/i/ulta/2605054?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Fahrenheit Eau de Toilette",$105.00 - $130.00,https://media.ulta.com/i/ulta/2021212?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Dior Forever Luminizer",$50.00,https://media.ulta.com/i/ulta/2604216?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
J'adore Eau de Parfum Roller-Pearl",$56.00,https://media.ulta.com/i/ulta/2545266?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Diorshow Mascara Waterproof",$33.00,https://media.ulta.com/i/ulta/2604906?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Homme Sport Eau de Toilette",$110.00 - $180.00,https://media.ulta.com/i/ulta/2592800?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Rouge Blush",$45.00,https://media.ulta.com/i/ulta/2612232?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Forever Glow Veil Makeup Primer",$50.00,https://media.ulta.com/i/ulta/2611696?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Le Baume Multi-Use Balm with Hyaluronic Acid",$60.00,https://media.ulta.com/i/ulta/2612402?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Dior Forever Natural Bronzer",$50.00,https://media.ulta.com/i/ulta/2604293?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Sauvage Deodorant Stick",$35.00,https://media.ulta.com/i/ulta/2307456?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Homme Cologne Eau de Toilette",$110.00 - $180.00,https://media.ulta.com/i/ulta/2291496?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Rouge Dior Lip Balm",$49.00,https://media.ulta.com/i/ulta/2629087?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Pure Poison Eau de Parfum",$138.00,https://media.ulta.com/i/ulta/2111960?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Capture Totale Cell Energy Eye Serum",$85.00,https://media.ulta.com/i/ulta/2604542?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
La Mousse Foaming Cleanser",$52.00,https://media.ulta.com/i/ulta/2604215?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Diorshow On Stage Liner",$35.00,https://media.ulta.com/i/ulta/2604303?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
J'adore Eau Lumière Eau de Toilette",$135.00,https://media.ulta.com/i/ulta/2506282?w=400&$ProductCardNeutralBGLight$&fmt=auto
Dior,"Dior
Sauvage Shower Gel",$50.00,https://media.ulta.com/i/ulta/2596235?w=400&$ProductCardNeutralBGLight$&fmt=auto
,,,https://media.ulta.com/i/ulta/2573131?w=400&$ProductCardNeutralBGLight$&fmt=auto
